iteration,run_0_best_perplexity,run_0_T_best,run_0_step_time,run_1_best_perplexity,run_1_T_best,run_1_step_time,run_2_best_perplexity,run_2_T_best,run_2_step_time,run_3_best_perplexity,run_3_T_best,run_3_step_time,run_4_best_perplexity,run_4_T_best,run_4_step_time,run_5_best_perplexity,run_5_T_best,run_5_step_time,run_6_best_perplexity,run_6_T_best,run_6_step_time,run_7_best_perplexity,run_7_T_best,run_7_step_time,run_8_best_perplexity,run_8_T_best,run_8_step_time,run_9_best_perplexity,run_9_T_best,run_9_step_time
0,2584.7718127072626,115,0.0,2509.131962596967,115,0.0,2647.034019970684,115,0.0,2598.725847548679,115,0.0,2565.1186599591947,115,0.0,2621.0336264019356,115,0.0,2705.046576235523,115,0.0,2620.6517503158734,115,0.0,2597.6310371717323,115,0.0,2591.729445865604,115,0.0
1,2230.9857966600334,98,393.6870001000352,2343.2412231970966,104,260.3804248999804,2339.643650745592,101,313.3926019000355,2598.725847548679,115,183.74888439988715,2565.1186599591947,115,433.8666900000535,2621.0336264019356,115,453.8391749000875,2384.6349807774022,102,350.9900560999522,2620.6517503158734,115,378.5195088000037,2597.6310371717323,115,270.6014878000133,2591.729445865604,115,213.5563341000816
2,2209.131729596867,94,126.06592889991587,2257.016703077256,102,91.544771600049,2309.383343635225,98,84.04340399999637,2410.466944745708,101,93.75564900005702,2565.1186599591947,115,56.952983199968,2486.5197865917717,101,128.2332714999793,2350.1362781527223,96,145.2106974000344,2400.8687169719833,99,151.95957249996718,2223.6255576177055,93,110.35260809992906,2342.531224788918,99,66.50550259999
3,1899.4887735597251,66,89.59341680002399,2257.016703077256,102,0.0003344999859109,2262.490732249092,93,86.08994579990394,2334.8967766631117,98,34.21059429994784,2565.1186599591947,115,79.80484569992404,2315.2686115196543,98,48.1660855000373,2263.11924528519,95,33.15898990002461,2319.967499463438,95,65.85585649998393,1988.8544352780657,64,62.401160900015384,2342.531224788918,99,50.06136589997914
4,1899.4536155428673,64,65.36768349993508,2257.016703077256,102,23.252536799991503,1918.201806274522,66,21.62636930006556,2334.8967766631117,98,11.483905400033107,2531.2254940295725,101,49.51742289995309,2315.2686115196543,98,11.038018199964426,2035.111317725685,74,33.23844859993551,1945.5000505227,65,74.0614378999453,1988.8544352780657,64,82.0111780000152,2302.610688278324,98,36.27843449998181
5,1897.4781958261472,59,35.31079789996147,2257.016703077256,102,0.0003554999129846,1918.201806274522,66,17.38633959996514,2334.8967766631117,98,22.993605399969965,2531.2254940295725,101,0.0003518000012263,2312.190380813771,97,22.332725399988703,2016.557644685604,69,74.9287795999553,1945.5000505227,65,36.05534930003341,1953.6082193140635,65,32.326023699948564,2259.106893261501,94,34.86397589999251
6,1848.6654360871528,37,42.04536029999144,2257.016703077256,102,23.048420700011775,1918.201806274522,66,18.86297279992141,2334.8967766631117,98,0.0005252000410109,2531.2254940295725,101,0.0004281000001356,2312.190380813771,97,11.281320700072683,1960.5422331208188,64,30.001515200012363,1945.5000505227,65,30.68334170000162,1953.6082193140635,65,8.638385400059633,1957.6142588940857,64,18.17009849997703
7,1756.2723976152372,33,28.722560500027612,2257.016703077256,102,22.899358800030313,1918.201806274522,66,8.437491599936038,2289.6318448150523,97,10.646054900018498,2329.2046010875397,96,33.36188670003321,2312.190380813771,97,11.292107800021768,1950.5299832034025,65,8.323820400051773,1945.5000505227,65,30.244006900000382,1953.6082193140635,65,8.890906100044958,1957.6142588940857,64,27.84735629998613
8,1756.2723976152372,33,6.607424800051376,2257.016703077256,102,0.0003865000326186,1918.201806274522,66,8.492202800000086,2289.6318448150523,97,0.0003485000925138,2329.2046010875397,96,0.0006293000187724,2312.190380813771,97,0.0003976000007241,1950.5299832034025,65,17.04366950003896,1945.5000505227,65,0.0004812999395653,1782.9286894431036,36,28.073563700076193,1957.6142588940857,64,17.810709699988365
9,1729.1344226609165,28,6.149451900040731,2257.016703077256,102,10.92058979999274,1918.201806274522,66,8.39614480000455,2223.2089021796824,93,43.363197900005616,2303.9408851886164,99,32.99121050001122,2295.2869761860293,93,10.412120699998924,1825.646188348398,32,39.434596900013275,1945.5000505227,65,9.289844900020398,1738.4974168802948,31,39.67572780000046,1954.2634938369365,60,8.357188099995255
10,1727.6097268993574,30,16.92108959995676,2257.016703077256,102,0.0005398999201133,1918.201806274522,66,8.882076799985953,1895.8979846491443,65,16.680591300013475,1978.6448467704724,64,30.103393299970776,1913.077133787943,65,21.408745100023225,1825.646188348398,32,25.347313200007193,1945.5000505227,65,9.609626400051638,1738.4974168802948,31,14.63465569994878,1954.2634938369365,60,0.0004105999832972
11,1691.0455910032583,7,31.38736220006831,2257.016703077256,102,21.9018955999054,1918.201806274522,66,26.589195500011556,1895.8979846491443,65,53.19052019994706,1978.6448467704724,64,20.1460602999432,1913.077133787943,65,0.0003861000295728,1771.520470016946,29,24.877302000066265,1945.5000505227,65,0.0003548000240698,1711.6682560085667,4,19.66148410004098,1783.199445984996,30,32.2407971000066
12,1691.0455910032583,7,11.924224200076424,2257.016703077256,102,0.0004067999543622,1918.201806274522,66,0.0002655000425875,1895.8979846491443,65,0.0004400999750941,1978.6448467704724,64,12.949562399997376,1913.077133787943,65,17.025366500020027,1744.7997904431634,4,55.73542050004471,1945.5000505227,65,9.259889099979771,1662.7650917374422,7,5.124570500105619,1783.199445984996,30,28.225267700036056
13,1691.0455910032583,7,17.45774340000935,2257.016703077256,102,0.0003864000318571,1918.201806274522,66,0.0002650000387802,1895.8979846491443,65,0.0003780999686568,1934.7640144176903,61,8.447820500005037,1913.077133787943,65,0.0004012000281363,1744.7997904431634,4,5.972751899971627,1945.5000505227,65,0.000324000022374,1662.7650917374422,7,0.0004863999783992,1783.199445984996,30,13.456482199952006
14,1691.0455910032583,7,0.0003979000030085,2257.016703077256,102,0.0003953999839723,1918.201806274522,66,0.0002485000295564,1895.8391821300504,61,8.063886599964462,1762.2801535191013,30,17.252455400070176,1913.077133787943,65,8.937525699962862,1744.7997904431634,4,0.0003236999036744,1945.5000505227,65,19.26227539998945,1662.7650917374422,7,0.0003960999893024,1754.6899643445256,25,12.963771400041878
