iteration,run_0_best_perplexity,run_0_T_best,run_0_step_time,run_1_best_perplexity,run_1_T_best,run_1_step_time,run_2_best_perplexity,run_2_T_best,run_2_step_time,run_3_best_perplexity,run_3_T_best,run_3_step_time,run_4_best_perplexity,run_4_T_best,run_4_step_time,run_5_best_perplexity,run_5_T_best,run_5_step_time,run_6_best_perplexity,run_6_T_best,run_6_step_time,run_7_best_perplexity,run_7_T_best,run_7_step_time,run_8_best_perplexity,run_8_T_best,run_8_step_time,run_9_best_perplexity,run_9_T_best,run_9_step_time
0,9953.489646362124,115,0.0,10211.298566857342,115,0.0,9583.152346625378,115,0.0,10731.573022387493,115,0.0,9975.494413404804,115,0.0,10413.79982140497,115,0.0,9673.17708114106,115,0.0,10234.050079734332,115,0.0,11155.006910088456,115,0.0,9966.3987350961,115,0.0
1,8489.233315658721,110,104.82914729998448,9941.604765526654,114,135.9792987999972,9156.892695872955,111,110.12623189995064,8610.767482805308,111,105.39686800003985,9736.275551933568,110,67.71258309995756,10162.251966728074,111,87.85075779992621,9673.17708114106,115,128.21432050003204,9409.419847602623,114,99.01967710000464,11155.006910088456,115,77.62657249998301,9966.3987350961,115,94.2886043000035
2,8168.887908682417,107,57.352370199980214,7907.375041842322,109,77.15188909997232,9037.21757244846,108,40.63538879994303,8398.041023206655,106,21.027823099982925,9500.428832117364,112,41.57641640002839,10162.251966728074,111,32.20361329999287,8904.944880466834,111,59.00568259996362,9409.419847602623,114,47.690646600094624,9546.167336011817,113,63.172407799982466,9853.3865449422,111,54.50746359990444
3,7649.872860936177,102,36.73693530005403,7907.375041842322,109,32.15054369997233,7012.558165016469,103,38.29286399995908,7931.258386880447,104,28.900430700043216,9500.428832117364,112,9.861237499979325,8240.73622538105,106,41.4910134000238,8840.057979052996,112,9.455053700017745,9207.360245725338,113,46.64975960005541,9313.015176405104,110,38.79399889998603,8703.1916250156,107,49.585838000057265
4,7203.2244662855755,100,26.90094359999057,6821.942903069681,100,10.014314000029117,7012.558165016469,103,19.2404080000706,7559.892533232771,101,19.13137049996294,7873.486606968943,106,9.732713000033982,8240.73622538105,106,20.365169700002298,8146.174117669894,107,28.279177299933508,9056.86741826738,109,9.083405600045808,8126.824494066544,107,37.85862990003079,7622.919220144683,108,29.503312399960123
5,6774.935028740257,97,8.515342400060035,6821.942903069681,100,9.441288499976508,6584.640060717654,97,26.741833699983545,7555.143371753069,100,0.0003039999864995,7689.250785420219,104,39.3900196000468,7228.090979234806,103,10.596741099958308,8146.174117669894,107,8.972064300091006,9056.86741826738,109,0.000143300043419,8020.540501151163,104,18.57610519998707,7622.919220144683,108,18.739650500006977
6,6134.092764691459,95,8.316033600014634,6821.942903069681,100,0.0001175999641418,6004.166120705508,94,17.05522059998475,6774.722653524376,96,0.0002693999558687,7689.250785420219,104,28.668902199948207,6623.123446807919,97,20.15252500004135,7550.107371941414,102,0.0003135999431833,9056.86741826738,109,0.0002001000102609,7039.870354151067,99,36.4450843000086,7622.919220144683,108,36.15170709998347
7,6134.092764691459,95,0.0002030000323429,6537.804687461084,95,0.0002414999762549,5645.695682923147,88,17.649210300063714,6139.265748540753,92,8.56132640002761,6523.149363037109,95,0.0003519000019878,6000.4634142571895,94,0.0004843000788241,7232.773999149103,98,35.32718190003652,7791.023918437884,105,17.740259999991395,6238.13927902514,94,25.960169100086205,7504.938631174736,100,0.0003247000277042
8,6092.189560420496,90,8.447141199954785,6009.328364090141,90,8.559092300012708,5499.949547940647,87,24.877770200022496,5455.892309315968,90,16.8895319000585,6264.152334156844,91,0.0002721000928431,5991.746931489759,90,37.30338249995839,6264.684906412952,94,0.00024010008201,7515.714760784637,103,26.56240609998349,6238.13927902514,94,17.25631450000219,6751.853712746759,97,0.0002654999261721
9,5346.253516315085,86,8.146846999996342,5486.346813027281,88,25.9693646999076,5117.752943731036,83,24.094605099991895,5455.892309315968,90,24.873381400015205,5893.196871931983,86,17.353443400003016,5440.162735286235,88,16.92641700000968,5680.537499217884,90,15.834529899992049,7182.916490448508,100,8.895125800045207,5651.297762238256,93,0.0003213000018149,6252.814777515579,94,8.947659700061195
