iteration,run_0_best_perplexity,run_0_T_best,run_0_step_time,run_1_best_perplexity,run_1_T_best,run_1_step_time,run_2_best_perplexity,run_2_T_best,run_2_step_time,run_3_best_perplexity,run_3_T_best,run_3_step_time,run_4_best_perplexity,run_4_T_best,run_4_step_time,run_5_best_perplexity,run_5_T_best,run_5_step_time,run_6_best_perplexity,run_6_T_best,run_6_step_time,run_7_best_perplexity,run_7_T_best,run_7_step_time,run_8_best_perplexity,run_8_T_best,run_8_step_time,run_9_best_perplexity,run_9_T_best,run_9_step_time
0,2733.9994155764457,115,0.0,2746.394513962531,115,0.0,2855.7141005290846,115,0.0,2794.274905767759,115,0.0,2795.1325669515186,115,0.0,2877.9762210306476,115,0.0,2755.369247236001,115,0.0,2735.495279362307,115,0.0,2781.1175021074573,115,0.0,2843.583033051245,115,0.0
1,2335.790231377933,98,393.9992610999616,2479.0998664245426,104,269.88971420004964,2441.678710373347,102,297.99253899999894,2794.274905767759,115,188.7379268000368,2795.1325669515186,115,409.97207500005607,2877.9762210306476,115,438.7180621000007,2405.761196545807,101,343.3217331999913,2735.495279362307,115,343.0237161000259,2781.1175021074573,115,251.92181199998595,2843.583033051245,115,220.26046130002945
2,2262.515701989355,94,112.5866447999142,2434.58311309657,102,97.66951419995166,2351.9202706975775,98,78.71450719994027,2524.49830847609,101,94.64211849996354,2753.4666118811115,116,53.45255069993436,2451.618679061592,101,121.95325120002964,2290.9979368247996,96,137.43233370000962,2328.5068003497595,99,128.39737299992703,2781.1175021074573,115,92.37370619992726,2435.567461496422,99,66.98970560007729
3,1867.6335679575227,66,83.39754699997138,2434.58311309657,102,0.0003533000126481,2323.721166754344,96,80.60249509999994,2340.200464052637,98,23.284862600034103,2695.589029618773,113,73.89724810002372,2396.8120238463152,98,45.16918600001373,2289.778906390662,95,19.25653719995171,2281.2429225413725,95,36.98478280007839,2270.0347222238693,91,81.69534279999789,2316.444064293524,97,50.65945530007593
4,1867.6335679575227,66,41.06294410000555,2433.8224083367545,103,25.40572819998488,1898.3119138758484,66,20.238295300048776,2340.200464052637,98,0.0003257000353187,2455.2760251670093,101,44.84128439996857,2396.8120238463152,98,0.0004330999217927,1981.8455093999169,73,30.334880000096742,1869.8720229018625,67,68.93830159993377,1943.1025529033016,66,70.35535219998565,2311.9216163002857,98,36.89978959993459
5,1815.8401439931497,60,28.932689900044352,2433.8224083367545,103,0.0002607000060379,1880.9829133320736,64,14.892659700009972,2340.200464052637,98,22.902062300010584,2455.2760251670093,101,0.0003387000178918,2333.937826481364,93,19.7594760999782,1875.4350322874247,64,68.36388710001484,1869.8720229018625,67,36.71724240004551,1866.6742600597452,62,35.878631499945186,2296.251281722587,94,35.67716520000249
6,1677.5126614587443,34,40.649742700043134,2338.518983619252,98,24.984055900014937,1841.0132463959812,59,14.300735999946482,2340.200464052637,98,0.0004961999366059,2455.2760251670093,101,0.0003013999667018,2333.937826481364,93,10.473210399970412,1860.1010346746089,61,36.85959779995028,1863.5417389205031,66,25.14711639995221,1600.3435558637482,28,61.75640089996159,1884.7618856901645,62,17.621804900001734
7,1677.5126614587443,34,24.76585470000282,2338.518983619252,98,22.212336900061928,1841.0132463959812,59,21.383932700031437,2340.200464052637,98,22.072482399991713,2424.2505739511053,97,29.4799614000367,1970.6650322687024,66,45.14035090000834,1650.2983737737695,32,12.617694900021888,1863.5417389205031,66,19.830294100102037,1341.9977271342634,2,32.544392800075,1652.592283930571,34,16.153042000019923
8,1677.5126614587443,34,6.738369500031695,2338.518983619252,98,0.0002701999619603,1682.6867478868553,32,29.856676399940625,2340.200464052637,98,0.0003602999495342,2424.2505739511053,97,0.000442299991846,1918.439588688444,67,8.514641899964772,1650.2983737737695,32,22.069113000063226,1848.9888961631457,65,9.300649099983277,1341.9977271342634,2,15.5095302000409,1652.592283930571,34,32.85274160001427
9,1669.1105154751694,29,5.750064299907535,2298.724031678314,94,22.32549400010612,1655.1790347852257,30,13.905669100000525,2323.6768937652646,94,32.123225199989974,2299.2690123048983,93,19.72849870007485,1897.160221113813,62,7.885456999996677,1626.2415438087885,28,10.961803200072609,1848.9888961631457,65,8.30395710002631,1341.9977271342634,2,24.533463299972937,1600.7917208996223,30,22.58417210006155
10,1325.7964302952555,2,20.917212300002575,1938.3906315166153,66,30.871210900018923,1614.9347496614444,25,18.021547699929215,1901.4933117708272,66,21.379538399982263,1954.837583442212,65,51.8241692999145,1738.4895210683808,34,33.91230799991172,1347.2235498820792,2,18.26937180000823,1825.4088265348732,63,8.659404000034556,1341.9977271342634,2,5.0787806999869645,1600.7917208996223,30,7.098032200010493
11,1325.7964302952555,2,15.133889799937606,1938.3906315166153,66,40.7128010999877,1327.5903612930183,2,45.94168220006395,1885.7944809932824,67,50.11127440002747,1918.8340518397615,64,19.59241290006321,1682.6564048839198,35,16.330189999891445,1347.2235498820792,2,11.650543299969286,1679.7536847740405,33,6.046188400010578,1341.9977271342634,2,4.965790499933064,1358.7797589850552,2,27.059813300031237
12,1325.7964302952555,2,10.635397300007751,1875.4553713163284,63,23.495843799901195,1327.5903612930183,2,16.795189399970695,1885.7944809932824,67,0.0003212000010535,1918.8340518397615,64,0.0003325999714434,1672.723826606293,39,22.251578399911523,1347.2235498820792,2,16.31281609996222,1652.8395356589645,30,20.03234589996282,1341.9977271342634,2,4.935675099957734,1358.7797589850552,2,6.8482269999803975
13,1325.7964302952555,2,9.778987600002438,1846.4536148116013,62,7.738266999949701,1327.5903612930183,2,0.0002315000165253,1885.7944809932824,67,0.0002116999821737,1888.374690984993,61,15.925716000027023,1672.723826606293,39,0.0004458000184968,1347.2235498820792,2,4.2851653000107035,1389.077655845198,2,20.92047739995178,1341.9977271342634,2,0.000495700049214,1358.7797589850552,2,5.697663599974476
14,1325.7964302952555,2,0.0003349999897181,1645.5309280909337,31,22.09109170001466,1327.5903612930183,2,0.0002114999806508,1857.8273492854796,63,8.279032699996606,1671.9502065984043,30,6.271186099969782,1672.723826606293,39,14.27780000003986,1347.2235498820792,2,0.0002333999145776,1389.077655845198,2,21.203826699987985,1341.9977271342634,2,0.0004670000635087,1358.7797589850552,2,0.0003228000132367
15,1325.7964302952555,2,0.0002837000647559,1638.9183581406355,27,17.46457230008673,1327.5903612930183,2,0.000278600025922,1699.277361344817,35,46.02492009999696,1629.7620078942944,26,33.99887769995257,1672.723826606293,39,13.51571700000204,1347.2235498820792,2,0.0002075000666081,1389.077655845198,2,4.180566799943335,1341.9977271342634,2,0.0002888001035898,1358.7797589850552,2,0.000486799981445
16,1325.7964302952555,2,0.0002916000084951,1333.06861439231,2,20.02823320007883,1327.5903612930183,2,0.0003994000144302,1630.9404760573343,31,15.54127090005204,1629.7620078942944,26,36.20568040001672,1672.723826606293,39,6.87243409990333,1347.2235498820792,2,0.0004088999703526,1389.077655845198,2,4.173378200037405,1341.9977271342634,2,5.307996500050649,1358.7797589850552,2,0.000309900031425
