iteration,run_0_best_perplexity,run_0_T_best,run_0_step_time,run_1_best_perplexity,run_1_T_best,run_1_step_time,run_2_best_perplexity,run_2_T_best,run_2_step_time,run_3_best_perplexity,run_3_T_best,run_3_step_time,run_4_best_perplexity,run_4_T_best,run_4_step_time,run_5_best_perplexity,run_5_T_best,run_5_step_time,run_6_best_perplexity,run_6_T_best,run_6_step_time,run_7_best_perplexity,run_7_T_best,run_7_step_time,run_8_best_perplexity,run_8_T_best,run_8_step_time,run_9_best_perplexity,run_9_T_best,run_9_step_time
0,2733.9994155764457,115,0.0004116999916732,2746.394513962531,115,0.0004385000793263,2855.7141005290846,115,0.0004519999492913,2794.274905767759,115,0.0003631999716162,2795.1325669515186,115,0.0003534998977556,2877.9762210306476,115,0.0004836999578401,2755.369247236001,115,0.0003686000127345,2735.495279362307,115,0.0005227000219747,2781.1175021074573,115,0.0004613000201061,2843.583033051245,115,0.0005522000137716
1,2733.9994155764457,115,27.488404399948195,2746.394513962531,115,72.04382860008627,1562.3306641905403,13,5.489116200013086,2794.274905767759,115,49.70321189996321,2795.1325669515186,115,31.37596710002981,1407.2955956489952,2,6.310332300025038,1347.2235498820792,2,3.8499943912029266e-05,2735.495279362307,115,44.62025070004165,1341.9977271342634,2,4.419998731464147e-05,2843.583033051245,115,58.16356169991195
2,2200.9692817234286,92,3.8499943912029266e-05,2746.394513962531,115,4.7900015488266945e-05,1562.3306641905403,13,41.01606850000098,2794.274905767759,115,30.08237339998595,2795.1325669515186,115,2.200005110353231e-05,1407.2955956489952,2,54.481937299948186,1347.2235498820792,2,2.6999972760677338e-05,1389.077655845198,2,4.469999112188816e-05,1341.9977271342634,2,2.4900073185563087e-05,1715.243064459615,46,8.697275700047612
3,2200.9692817234286,92,79.78615399997216,1333.06861439231,2,2.719997428357601e-05,1562.3306641905403,13,22.969491399941035,2794.274905767759,115,12.727653600042686,2795.1325669515186,115,47.85471509990748,1407.2955956489952,2,42.40393090003636,1347.2235498820792,2,2.4499953724443913e-05,1389.077655845198,2,2.040003892034292e-05,1341.9977271342634,2,2.089992631226778e-05,1715.243064459615,46,15.600251300027594
4,2200.9692817234286,92,80.30051299999468,1333.06861439231,2,5.268176799989305,1562.3306641905403,13,1.6400008462369442e-05,2794.274905767759,115,18.904511100030504,2795.1325669515186,115,35.4157908000052,1407.2955956489952,2,33.59395589993801,1347.2235498820792,2,78.72572200000286,1389.077655845198,2,21.20702179998625,1341.9977271342634,2,33.99865339999087,1715.243064459615,46,51.13505600008648
5,2200.9692817234286,92,28.99062840000261,1333.06861439231,2,3.369990736246109e-05,1523.961226801544,11,5.244003799976781,2794.274905767759,115,12.78316089999862,1407.5119924268931,2,3.300001844763756e-05,1407.2955956489952,2,41.40073789993767,1347.2235498820792,2,30.586022600065917,1389.077655845198,2,73.52430110005662,1341.9977271342634,2,61.39471489994321,1358.7797589850552,2,3.9199949242174625e-05
6,2200.9692817234286,92,57.79035540006589,1333.06861439231,2,27.745541600044817,1523.961226801544,11,84.87655100005213,1331.4960500733955,2,3.650004509836435e-05,1407.5119924268931,2,81.52576440002304,1407.2955956489952,2,3.450002986937761e-05,1347.2235498820792,2,4.6200002543628216e-05,1389.077655845198,2,83.51932209997904,1341.9977271342634,2,1.6300007700920105e-05,1358.7797589850552,2,16.85348329995759
7,2200.9692817234286,92,22.900521399918944,1333.06861439231,2,3.304154299898073,1523.961226801544,11,48.7419266999932,1331.4960500733955,2,2.1700048819184303e-05,1407.5119924268931,2,6.210000719875097e-05,1407.2955956489952,2,100.83921230002306,1347.2235498820792,2,31.529294000007212,1389.077655845198,2,60.72111699997913,1341.9977271342634,2,3.029999788850546e-05,1358.7797589850552,2,3.559992182999849e-05
8,2200.9692817234286,92,65.14890340005513,1333.06861439231,2,3.499991726130247e-05,1327.5903612930183,2,3.890006337314844e-05,1331.4960500733955,2,86.19625310006086,1407.5119924268931,2,2.5799963623285297e-05,1407.2955956489952,2,66.86461359995883,1347.2235498820792,2,51.14753309998195,1389.077655845198,2,5.789997521787882e-05,1341.9977271342634,2,44.68858649989125,1358.7797589850552,2,5.171074699959718
9,2200.9692817234286,92,20.826560299959965,1333.06861439231,2,59.40247810003348,1327.5903612930183,2,2.319994382560253e-05,1331.4960500733955,2,6.240000948309898e-05,1407.5119924268931,2,2.8199981898069385e-05,1407.2955956489952,2,5.3600058890879154e-05,1347.2235498820792,2,5.1600043661892414e-05,1389.077655845198,2,39.87034260004293,1341.9977271342634,2,1.7600017599761486e-05,1358.7797589850552,2,3.0099996365606785e-05
10,2200.9692817234286,92,3.9899954572319984e-05,1333.06861439231,2,35.507524400018156,1327.5903612930183,2,1.7200014553964138e-05,1331.4960500733955,2,92.75772370002232,1407.5119924268931,2,2.619996666908264e-05,1407.2955956489952,2,23.90388799994253,1347.2235498820792,2,21.74924849998206,1389.077655845198,2,4.1100080125033855e-05,1341.9977271342634,2,3.2100011594593525e-05,1358.7797589850552,2,1.4599994756281376e-05
11,1884.8564459633767,63,3.019999712705612e-05,1333.06861439231,2,3.509991802275181e-05,1327.5903612930183,2,59.563643100089394,1331.4960500733955,2,3.520003519952297e-05,1407.5119924268931,2,2.7300091460347176e-05,1407.2955956489952,2,3.200001083314419e-05,1347.2235498820792,2,1.780001912266016e-05,1389.077655845198,2,2.619996666908264e-05,1341.9977271342634,2,2.5799963623285297e-05,1358.7797589850552,2,2.2900057956576347e-05
12,1884.8564459633767,63,55.79225509997923,1333.06861439231,2,86.18692380003631,1327.5903612930183,2,54.19323199999053,1331.4960500733955,2,41.20103290001862,1407.5119924268931,2,30.107514700037427,1407.2955956489952,2,51.286283000023104,1347.2235498820792,2,49.798560299910605,1389.077655845198,2,14.861152000026776,1341.9977271342634,2,32.90543709998019,1358.7797589850552,2,2.630008384585381e-05
13,1884.8564459633767,63,32.57845269993413,1333.06861439231,2,3.530003596097231e-05,1327.5903612930183,2,1.7000013031065464e-05,1331.4960500733955,2,7.788065899978392,1407.5119924268931,2,4.20999713242054e-05,1407.2955956489952,2,5.000003147870302e-05,1347.2235498820792,2,20.174144000047814,1389.077655845198,2,4.67000063508749e-05,1341.9977271342634,2,4.1599967516958714e-05,1358.7797589850552,2,2.829998265951872e-05
14,1325.7964302952555,2,4.239997360855341e-05,1333.06861439231,2,13.596813500043936,1327.5903612930183,2,31.873080299934372,1331.4960500733955,2,3.6199926398694515e-05,1407.5119924268931,2,2.559996210038662e-05,1407.2955956489952,2,36.76760609995108,1347.2235498820792,2,55.45318070007488,1389.077655845198,2,42.93438230000902,1341.9977271342634,2,2.4000066332519054e-05,1358.7797589850552,2,1.5700003132224083e-05
15,1325.7964302952555,2,22.947288200026374,1333.06861439231,2,17.75662390002981,1327.5903612930183,2,66.94058870000299,1331.4960500733955,2,1.8400023691356185e-05,1407.5119924268931,2,51.276385799981654,1407.2955956489952,2,3.7800054997205734e-05,1347.2235498820792,2,1.610000617802143e-05,1389.077655845198,2,67.8463638999965,1341.9977271342634,2,7.082327100099064,1358.7797589850552,2,22.408506199950352
16,1325.7964302952555,2,26.326216500019655,1333.06861439231,2,3.260001540184021e-05,1327.5903612930183,2,6.217489999951795,1331.4960500733955,2,12.463678999920376,1407.5119924268931,2,49.399349199957214,1407.2955956489952,2,31.57247000001371,1347.2235498820792,2,48.47134229994845,1389.077655845198,2,39.34596639999654,1341.9977271342634,2,36.09340779995546,1358.7797589850552,2,3.5100034438073635e-05
17,1325.7964302952555,2,39.9923875000095,1333.06861439231,2,2.789997961372137e-05,1327.5903612930183,2,39.15490759990644,1331.4960500733955,2,1.5700003132224083e-05,1407.5119924268931,2,5.719996988773346e-05,1407.2955956489952,2,3.709993325173855e-05,1347.2235498820792,2,4.9900030717253685e-05,1389.077655845198,2,5.100003909319639e-05,1341.9977271342634,2,106.96455799997784,1358.7797589850552,2,1.6000005416572094e-05
18,1325.7964302952555,2,93.4984298000345,1333.06861439231,2,1.7300015315413475e-05,1327.5903612930183,2,48.54238080000505,1331.4960500733955,2,32.76509110000916,1407.5119924268931,2,59.93067819997668,1407.2955956489952,2,87.38488369993865,1347.2235498820792,2,4.717135399929248,1389.077655845198,2,81.23303769994527,1341.9977271342634,2,26.53323459997773,1358.7797589850552,2,2.8900103643536568e-05
19,1325.7964302952555,2,5.140004213899374e-05,1333.06861439231,2,92.78872579999734,1327.5903612930183,2,5.150004290044308e-05,1331.4960500733955,2,28.107881600037217,1407.5119924268931,2,4.5599997974932194e-05,1407.2955956489952,2,3.949995152652264e-05,1347.2235498820792,2,69.53425610007253,1389.077655845198,2,4.2499974370002747e-05,1341.9977271342634,2,47.570161600015126,1358.7797589850552,2,1.7200014553964138e-05
20,1325.7964302952555,2,1.680001150816679e-05,1333.06861439231,2,63.52539690001868,1327.5903612930183,2,80.71309330000076,1331.4960500733955,2,4.000007174909115e-05,1407.5119924268931,2,23.375242199981585,1407.2955956489952,2,1.8000020645558834e-05,1347.2235498820792,2,3.8899946957826614e-05,1389.077655845198,2,1.3699987903237345e-05,1341.9977271342634,2,77.4747107999865,1358.7797589850552,2,2.6499968953430653e-05
