iter,best_perplexity,pop_mean,pop_std,pop_min,pop_max,T_best,alpha_best,eta_best,step_time,cum_time,no_improvement_count,relative_change_pct
-1,9953.489646362123,3.5601693116831744e+43,1.3156025224265327e+44,9953.489646362123,5.989326249199127e+44,115,0.008695652173913044,0.008695652173913044,0.0,0.0,0,0.0
0,7035.297134648645,3.430137878571301e+30,1.4951624374692214e+31,7035.297134648645,6.860275756963418e+31,98,0.01020408163265306,0.01020408163265306,289.10423759999685,1063.482156699989,0,29.318285499799973
1,6766.486318655849,71110726352263.48,309964469899239.5,6766.486318655849,1422214526731203.5,94,0.010638297872340425,0.010638297872340425,83.55664500000421,1147.0417224999983,0,3.820887886439226
2,4325.8638742846015,14298.653571428189,9051.850231398603,4325.8638742846015,35554.5300202746,66,0.015151515151515152,0.015151515151515152,66.57935990008991,1213.622804200044,0,36.06927331903736
3,3858.793064837381,8270.988615560182,3177.9469281207635,3858.793064837381,14234.741127230434,64,0.015625,0.015625,32.253236799966544,1245.8779379000189,0,10.797168450532055
4,3541.935091019007,5849.359115311085,2342.218046033994,3541.935091019007,14653.444744247377,59,0.01694915254237288,0.01694915254237288,23.84704070002772,1269.726767700049,0,8.21132329446972
5,2962.2531668889055,4628.18813231103,1027.675145351094,2962.2531668889055,6766.486318655849,34,0.029411764705882353,0.029411764705882353,34.5317716000136,1304.2603802999947,0,16.36624921783443
6,2785.519346839168,3865.459299602572,919.9715389924639,2785.519346839168,6425.0213225494435,32,0.03125,0.03125,33.40746059990488,1337.669853099971,0,5.96619566569158
7,2785.519346839168,3219.3924220794,575.4159602205856,2785.519346839168,4325.8638742846015,32,0.03125,0.03125,10.712806400028057,1348.384357300005,1,0.0
8,2744.420648334762,2834.552480694332,82.90474352148335,2744.420648334762,2994.7338042832052,31,0.03225806451612903,0.03225806451612903,15.444634199957363,1363.8308584999759,0,1.4754411435354853
9,2192.8603705018736,2850.7279891985536,491.1388327811507,2192.8603705018736,4029.091321489173,2,0.5,0.5,21.996531300013885,1385.8298004999524,0,20.097512317128203
10,2192.8603705018736,2520.073118326879,432.42248425995876,2192.8603705018736,3858.793064837381,2,0.5,0.5,9.444378199987113,1395.2766971000237,1,0.0
11,2192.8603705018736,2296.7247400708247,243.16759498502532,2192.8603705018736,2962.2531668889055,2,0.5,0.5,3.644060599966906,1398.922298099962,2,0.0
12,2192.8603705018736,2198.2855519391546,16.987594471066426,2192.8603705018736,2262.502124207472,2,0.5,0.5,7.967765400069766,1406.8919169000583,3,0.0
13,2192.8603705018736,2192.860370501874,4.547473508864641e-13,2192.8603705018736,2192.8603705018736,2,0.5,0.5,0.0004972000606358051,1406.89436330006,4,0.0
14,2192.8603705018736,2198.559862046837,17.559956908466567,2192.8603705018736,2262.502124207472,2,0.5,0.5,0.000354000017978251,1406.8962950999849,5,0.0
15,2192.8603705018736,2192.860370501874,4.547473508864641e-13,2192.8603705018736,2192.8603705018736,2,0.5,0.5,0.0002851000754162669,1406.8979840000393,6,0.0
16,2192.8603705018736,2196.342458187154,15.178068332682676,2192.8603705018736,2262.502124207472,2,0.5,0.5,0.000310199917294085,1406.8999640999828,7,0.0
17,2192.8603705018736,2196.342458187154,15.178068332682674,2192.8603705018736,2262.502124207472,2,0.5,0.5,0.00021309999283403158,1406.9015919000376,8,0.0
18,2192.8603705018736,2198.559862046837,17.559956908466564,2192.8603705018736,2262.502124207472,2,0.5,0.5,0.0002762000076472759,1406.90322940005,9,0.0
19,2192.8603705018736,2194.8034642538746,8.46974930279469,2192.8603705018736,2231.72224554188,2,0.5,0.5,0.00029989995528012514,1406.9049780999776,10,0.0
