iter,best_perplexity,pop_mean,pop_std,pop_min,pop_max,T_best,alpha_best,eta_best,mu,Sigma,step_time,cum_time,no_improvement_count,relative_change_pct,g_prime_norm,G_prime_norm,g_norm,G_norm,lambda,delta_mu_norm,delta_Sigma_norm
-1,10211.298566857342,3.5236297656665947e+43,1.3224012442586359e+44,10211.298566857342,6.036219117137836e+44,115,0.008695652173913044,0.008695652173913044,0.11322645290581163,0.25,0.0,0.0,0,0.0,,,,,,,
0,2118.457663127479,2.2022686035416217e+43,1.0592759691286136e+44,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,202.81848249999894,1181.4965370999998,0,79.25378785805631,3.613662430131823e+17,1.1105807246631651e+17,31347035.256688356,656528278.9779987,1.3074427068845673e+18,0.06909791173072927,0.25
1,2118.457663127479,1.6016498934848158e+43,9.086624800129197e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,25.01547489999939,1206.5209405999994,1,0.0,1640.7790138865043,42345.234444739275,22595.041247604844,517955.7898336392,560.286554110839,0.002928464018668261,0.0009999999789254803
2,2118.457663127479,1.2584392020237838e+43,8.08119947728407e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,40.30908339999951,1246.8358221999988,2,0.0,35567.57941364864,981780.9822054135,9121.031214833147,78959.16287202247,12634.977542349905,0.0028150093100209406,0.0010000000000403122
3,2118.457663127479,1.0363616957842926e+43,7.34924399649195e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,43.19643179999912,1290.0376847999978,3,0.0,2745.420461051087,23690.212151099615,39481.87550109717,557078.2874006026,658.0220811204308,0.004172231509822083,0.000999999967925239
4,2118.457663127479,8.809074414166487e+42,6.785765987082768e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,40.50754809999853,1330.5507725999996,4,0.0,52060.91980158347,1093464.739607011,9077.952932020577,4489.861473656648,15971.37556303196,0.003259639070917182,0.0010000000000286347
5,2118.457663127479,7.660064707970857e+42,6.33471025736596e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,19.310148299999128,1349.8662043999975,5,0.0,0.0,0.0,9031.091784902314,65789.38161959428,0.001,0.0,0.0
6,2118.457663127479,6.776211087820374e+42,5.963072031879946e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,11.261712199997419,1361.1323338000002,6,0.0,2864.4224355398096,51173.15477219701,184.96943931450716,15282.748049644637,819.828685674061,0.003493928043210332,0.0009999999880818662
7,2118.457663127479,6.075223733907922e+42,5.649989134700908e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001189487110866589,17.195989899999404,1378.3338650999976,7,0.0,30371.025577238343,718257.3903075485,7561.8630554496085,7964.576261288049,9884.826189842823,0.0030724895910072183,0.001000000000070431
8,2118.457663127479,5.505671508854054e+42,5.381543647712644e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,17.494140899998456,1395.833556900001,8,0.0,18439.01896759989,164538.31339355154,20572.09084705252,400855.9708508346,4904.261481738764,0.004472227975732599,0.0011894871116036618
9,2118.457663127479,5.033756808095135e+42,5.148047650392155e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,18.866589199998998,1414.7054682999988,9,0.0,1734.025386898766,41383.615019570454,16490.909688282572,203952.61659035448,567.1014589580013,0.003057698687734479,0.0009999999786949154
10,2118.457663127479,4.6363549548244665e+42,4.94252215572689e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.00110378878886713,9.630980300000374,1424.3434529000006,10,0.0,6820.007260477098,25930.54156208363,294.0704293943193,4700.978672159234,1546.89608780578,0.004408833478987564,0.0010000000124653363
11,2118.457663127479,4.2971094703251154e+42,4.759795157556598e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,11.42812960000083,1435.7771122999984,11,0.0,4504.092102918933,2008.1795054634913,1854.2624020658682,32270.958670941345,1058.3577459151857,0.004697434668351101,0.00110378904853945
12,2118.457663127479,4.0041247337120395e+42,4.595941471676341e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,24.218278699998336,1460.0006681999985,12,0.0,2238.8600564867306,24101.101573933956,36780.26199674559,521560.0299479404,555.6199542695283,0.004029481013492141,0.0009999999626614307
13,2118.457663127479,3.7485423039006325e+42,4.4479211530013927e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.0013190643325199179,5.095395000000281,1465.1013113000008,13,0.0,1880.7255654073172,38362.34092038735,1452.671084684928,12093.843118787796,569.232045191908,0.003303969938551543,0.0009999999771030297
14,2118.457663127479,3.523629765666595e+42,4.3133383258749993e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,28.73360739999771,1493.8404809999993,14,0.0,13193.158318387868,38305.00377020884,7427.225870473218,69181.56367930412,3425.662195277741,0.0050800760784331074,0.0013190643375462457
15,2118.457663127479,3.3241790242137685e+42,4.1902757394697187e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,10.808448100000533,1504.6543841999992,15,0.0,55706.93547018102,1599008.5522414995,33124.2292142508,867207.7131489142,20269.373932596485,0.0027483303458410045,0.00100000000001543
16,2118.457663127479,3.1460980050594595e+42,4.077178464040699e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001,28.188911199998984,1532.8486028000007,16,0.0,23560.11891014177,315487.5075981037,75673.12284470256,2113669.4885245035,6140.641207369949,0.003836752240438138,0.0010000000002581076
17,2118.457663127479,2.986126920056436e+42,3.9727703611128503e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.0016638175536407129,0.0004910999996354803,1532.854643999999,17,0.0,12213.88241357273,23111.22390708997,10531.542904862828,19948.128152503457,2740.881908645506,0.004456187030532828,0.0010000000078934823
18,2118.457663127479,2.8416369077956407e+42,3.8759929442495653e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.0021205761775408196,7.551008399997954,1540.4118056000007,18,0.0,10769.578276277585,15795.904218174885,6365.059003693296,6472.6937850818085,3117.3586898293015,0.0057480114302477115,0.0016638175367457216
19,2118.457663127479,2.7104844351281497e+42,3.785959866540005e+43,2118.457663127479,6.036219117137836e+44,2,0.5,0.5,0.0,0.001012164732343542,17.12816490000114,1557.5454017999982,19,0.0,42277.99895662337,621024.7408599833,906.7957607716043,25820.687228513336,19051.257601453915,0.004705921220372458,0.002120576177630454
