iter,best_perplexity,pop_mean,pop_std,pop_min,pop_max,T_best,alpha_best,eta_best,step_time,cum_time,no_improvement_count,relative_change_pct
-1,10731.573022387493,285440.7133529059,521329.6309203813,10731.573022387493,1327886.0900233404,115,0.008695652173913044,0.008695652173913044,0.0,0.0,0,0.0
0,8610.767482805308,9874.761235512266,699.0788798837438,8610.767482805308,10731.573022387493,111,0.009009009009009009,0.009009009009009009,105.39686800003983,105.39797289995477,0,19.76229892074444
1,8398.041023206655,8775.130318201713,442.82076894662805,8398.041023206655,9645.308119385993,106,0.009433962264150943,0.009433962264150943,21.027823099982925,126.42823249998037,0,2.470470373557785
2,7931.258386880447,8291.88559381366,221.39600173694913,7931.258386880447,8610.767482805308,104,0.009615384615384616,0.009615384615384616,28.900430700043216,155.3303378999699,0,5.558232390581668
3,7559.892533232771,8002.90072978919,258.1711903083769,7559.892533232771,8259.680538087947,101,0.009900990099009901,0.009900990099009901,19.13137049996294,174.46328849997371,0,4.682306836226314
4,7555.143371753069,7707.4890423959005,182.71513427189595,7555.143371753069,7931.258386880447,100,0.01,0.01,0.00030399998649954796,174.46528599993326,0,0.06282048929696829
5,6774.722653524376,7087.13927208042,212.87127118514184,6774.722653524376,7371.6568952690395,96,0.010416666666666666,0.010416666666666666,0.000269399955868721,174.46693999995477,0,10.329661262902105
6,6139.265748540753,6491.799223864889,337.4498383563463,6139.265748540753,7007.222890710099,92,0.010869565217391304,0.010869565217391304,8.56132640002761,183.0297217000043,0,9.379821691343238
7,5455.892309315968,6044.522549166357,302.71563710459094,5455.892309315968,6268.892413274612,90,0.011111111111111112,0.011111111111111112,16.8895319000585,199.92114350001793,0,11.131191696453536
8,5455.892309315968,5854.178459186705,309.4602951410429,5455.892309315968,6139.265748540753,90,0.011111111111111112,0.011111111111111112,24.873381400015205,224.7963054999709,1,0.0
9,5455.892309315968,5466.9414493956165,15.794820864820569,5455.892309315968,5496.3945152251235,90,0.011111111111111112,0.011111111111111112,16.19661369989626,240.99460619990714,2,0.0
10,5455.892309315968,5458.841008213785,5.897397795633515,5455.892309315968,5470.635803805052,90,0.011111111111111112,0.011111111111111112,0.00015070009976625443,240.99653209990356,3,0.0
11,5315.55569380159,5427.824986213092,56.13464620575141,5315.55569380159,5455.892309315968,85,0.011764705882352941,0.011764705882352941,8.037907300051302,249.0361698999768,0,2.572202814097942
12,5215.864454789909,5379.819415307881,98.35884361722117,5215.864454789909,5455.892309315968,82,0.012195121951219513,0.012195121951219513,7.9870681000174955,257.0249008999672,0,1.875462223600239
13,4675.725150969633,5223.785983638614,288.652663063204,4675.725150969633,5455.892309315968,78,0.01282051282051282,0.01282051282051282,7.522255399962887,264.5487502999604,0,10.35570054594205
14,4675.725150969633,4785.2533241747005,215.32516682393307,4675.725150969633,5215.864454789909,78,0.01282051282051282,0.01282051282051282,7.5392240000655875,272.0896799999755,1,0.0
15,4537.826593635784,4620.565728036093,67.5562203467725,4537.826593635784,4675.725150969633,75,0.013333333333333334,0.013333333333333334,22.440805200021714,294.5322271999903,0,2.949244296475654
16,4190.930871185565,4523.60687207928,177.4021781591483,4190.930871185565,4675.725150969633,72,0.013888888888888888,0.013888888888888888,15.184489700011909,309.71853019995615,0,7.644534564999329
17,4190.930871185565,4363.715628835505,103.52492867204003,4190.930871185565,4443.732146292393,72,0.013888888888888888,0.013888888888888888,14.451251199934632,324.17136129993014,1,0.0
18,4182.750804165054,4231.502842953149,53.1138667093224,4182.750804165054,4296.450834114782,67,0.014925373134328358,0.014925373134328358,14.640442300005816,338.8136338000186,0,0.19518496658467208
19,4127.017128808472,4174.876095901942,24.20749640308697,4127.017128808472,4190.930871185565,66,0.015151515151515152,0.015151515151515152,0.000269099953584373,338.81549309997354,0,1.3324646378905594
