iter,T_best,best_perplexity,T_current,current_fitness,strategy,temperature,improvement,step_time,cum_time,no_improvement_count
0,115,10731.573022387493,115,10731.573022387493,initial,1.0,True,0.0004048000555485487,0.00040609994903206825,0
1,115,10731.573022387493,501,8373921735693074.0,exploration,0.95,False,37.919985500047915,37.92039540002588,1
2,115,10731.573022387493,312,161648890.05171546,exploration,0.9025,False,23.50233789999038,61.423664700007066,2
3,115,10731.573022387493,123,12865.23218351661,transformer,0.8573749999999999,False,4.7200010158121586e-05,61.424155900022015,3
4,115,10731.573022387493,193,145400.06408416873,transformer,0.8145062499999999,False,14.99121040001046,76.41570889996365,4
5,115,10731.573022387493,122,12015.676070319427,exploration,0.7737809374999999,False,10.406844199984334,86.82287579996046,5
6,2,2177.1719722198573,2,2177.1719722198573,transformer,0.7350918906249998,True,3.459991421550512e-05,86.82327399996575,0
7,2,2177.1719722198573,2,2177.1719722198573,transformer,0.6983372960937497,False,1.719989813864231e-05,86.8235638999613,1
8,2,2177.1719722198573,816,6.883055091886402e+34,exploration,0.6634204312890623,False,65.10048910009209,151.9246968999505,2
9,2,2177.1719722198573,2,2177.1719722198573,transformer,0.6302494097246091,False,4.170008469372988e-05,151.92521380004473,3
10,2,2177.1719722198573,870,5.592651530026771e+38,exploration,0.5987369392383786,False,68.60240189998876,220.5280073999893,4
11,2,2177.1719722198573,2,2177.1719722198573,transformer,0.5688000922764596,False,6.170000415295362e-05,220.52884759998415,5
12,2,2177.1719722198573,419,1479249954562.9316,exploration,0.5403600876626365,False,31.466499699978158,251.9958156000357,6
13,2,2177.1719722198573,60,3981.3775204214176,exploration,0.5133420832795047,False,1.4499993994832039e-05,251.99623779999092,7
14,2,2177.1719722198573,89,6342.029186935482,transformer,0.48767497911552943,False,3.620004281401634e-05,251.9969328000443,8
15,2,2177.1719722198573,2,2177.1719722198573,transformer,0.46329123015975293,False,2.329994458705187e-05,251.9973826999776,9
16,2,2177.1719722198573,120,12961.780324354155,transformer,0.44012666865176525,False,10.322916300036013,262.3210783000104,10
17,2,2177.1719722198573,93,6268.892413274612,exploration,0.41812033521917696,False,1.3499986380338669e-05,262.32143959996756,11
18,2,2177.1719722198573,338,1267686031.018812,exploration,0.3972143184582181,False,25.00768560008146,287.3294016000582,12
19,2,2177.1719722198573,282,19002285.281408545,transformer,0.37735360253530714,False,21.146698399912566,308.47657119994983,13
20,2,2177.1719722198573,2,2177.1719722198573,transformer,0.35848592240854177,False,3.69000481441617e-05,308.4770067000063,14
