T,fitness
733,2.1063077089035466e+29
811,3.211725015670552e+34
133,17109.200047476177
355,4394652606.771188
777,1.4580348443570903e+32
115,10731.573022387493
452,38891838990678.266
940,9.512303253607291e+43
879,2.814432857291036e+39
345,2172003376.1786675
576,6.14886319160409e+19
153,30210.896369982354
950,5.885975576843603e+44
602,1.7151047955467736e+21
162,41265.8073013429
238,1327886.0900233404
422,2188029013298.8386
511,2.6023666451243108e+16
660,4.5487447285434835e+24
285,22971009.795290258
128,14753.85721528135
245,1964043.8345392118
2,2177.1719722198573
13,2310.990530279418
2,2177.1719722198573
115,10731.573022387493
59,4001.8196169075486
151,29713.3057825416
114,10203.57108508266
154,34958.29256752555
171,56571.21859559089
141,20414.16019150031
2,2177.1719722198573
10,2264.347908084434
2,2177.1719722198573
27,2568.895640510421
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
7,2156.4985578134965
2,2177.1719722198573
2,2177.1719722198573
6,2205.044765982495
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
12,2268.5239514014206
2,2177.1719722198573
2,2177.1719722198573
57,3644.308770543877
2,2177.1719722198573
25,2606.1665799333236
75,4537.826593635784
2,2177.1719722198573
4,2204.379163942576
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
37,2884.714119199554
2,2177.1719722198573
2,2177.1719722198573
47,3185.8121077947935
2,2177.1719722198573
18,2384.885110066501
2,2177.1719722198573
2,2177.1719722198573
6,2205.044765982495
9,2214.3726945341823
20,2464.347333637201
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
41,2967.4051330936177
2,2177.1719722198573
5,2209.5489143364434
2,2177.1719722198573
58,3760.4705983905824
2,2177.1719722198573
2,2177.1719722198573
11,2310.99846380163
2,2177.1719722198573
5,2209.5489143364434
32,2704.150285627858
2,2177.1719722198573
7,2156.4985578134965
9,2214.3726945341823
5,2209.5489143364434
2,2177.1719722198573
2,2177.1719722198573
9,2214.3726945341823
42,3158.697392424083
5,2209.5489143364434
2,2177.1719722198573
12,2268.5239514014206
18,2384.885110066501
2,2177.1719722198573
2,2177.1719722198573
17,2432.3292728486267
7,2156.4985578134965
49,3445.135566266001
23,2582.177419233524
2,2177.1719722198573
39,2938.161043491208
31,2729.735532137139
2,2177.1719722198573
45,3211.1084282070465
2,2177.1719722198573
13,2310.990530279418
64,3935.654056868564
61,3941.1779536331846
6,2205.044765982495
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
16,2360.9931992437387
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
2,2177.1719722198573
24,2691.251206183756
16,2360.9931992437387
2,2177.1719722198573
38,2852.903239290761
2,2177.1719722198573
