iter,best_perplexity,pop_mean,pop_std,pop_min,pop_max,T_best,alpha_best,eta_best,mu,Sigma,step_time,cum_time,no_improvement_count,relative_change_pct,g_prime_norm,G_prime_norm,g_norm,G_norm,lambda,delta_mu_norm,delta_Sigma_norm
-1,2781.1175021074573,1.423005734584395e+19,4.432697454306992e+19,2781.1175021074573,1.816767731300091e+20,115,0.008695652173913044,0.008695652173913044,0.11322645290581163,0.25,0.0,0.0,0,0.0,,,,,,,
0,1341.9977271342634,8.894420844248014e+18,3.5714125964087624e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,225.61658809999062,1433.1212555999955,0,51.74609752671964,1.1476353564312804e+16,8075951665071658.0,99207.49932121113,155873.81246563615,4.532068981845788e+16,0.0633063707231945,0.25
1,1341.9977271342634,6.468669704907647e+18,3.0713626764032758e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,53.19542839999485,1486.3238380999974,1,0.0,2828.728718314835,34328.70472859007,33180.47047507084,1339434.1497765798,719.6772233295337,0.003930551956596076,0.0009999999797615175
2,1341.9977271342634,5.082526196713151e+18,2.7353802437037412e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,31.284768299999996,1517.6121301999956,2,0.0,250.91448016961397,26990.454394495144,6520.881815136287,68994.43549580035,275.67444230488576,0.0009101840492090666,0.000999999932800743
3,1341.9977271342634,4.1856098090578893e+18,2.489867410031625e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,33.426861500003724,1551.043306499996,3,0.0,7355.853125103137,6486.817100264248,3368.4102197132943,40431.41517418132,1646.105614413093,0.004468639837354013,0.0010000000468260823
4,1341.9977271342634,3.5577683376992067e+18,2.3004045093604508e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,6.8631205999990925,1557.9103227000014,4,0.0,2678.140053209838,18644.248743828426,1067.4140293032358,25874.377024523117,627.2049860855593,0.004269959762089333,0.000999999957241908
5,1341.9977271342634,3.0937115979993103e+18,2.148481965692116e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.003275517932234589,38.45341240000562,1596.367158699999,5,0.0,14911.460426247435,533867.047310074,1979.2785426625514,34734.738512990116,6294.3701987062905,0.002369015478194874,0.0010000000001488033
6,1341.9977271342634,2.7367448751532365e+18,2.0231489202348052e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,26.743675399993663,1623.114400099992,6,0.0,1109.994449224367,11691.912289579464,2136.8873105992348,56192.21031270812,590.2994364288455,0.006159258333447411,0.0032755176949363033
7,1341.9977271342634,2.4536333363442806e+18,1.9174594312427483e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,32.04272850000416,1655.1612167999992,7,0.0,6305.5927216854725,19174.707782999536,9200.987004322595,190943.81379636258,1422.9588190442364,0.004431324812250336,0.0009999999816745315
8,1341.9977271342634,2.2236052110620047e+18,1.8267675242040664e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,0.0002902000123867765,1655.1652553000022,8,0.0,2678.5019670356933,17206.612616778646,515.2740737628807,37631.67480512889,623.160475585933,0.004298253936073564,0.001000000046631292
9,1341.9977271342634,2.0330104786852613e+18,1.7478326593683266e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,16.089114999995218,1671.2583222999965,9,0.0,10716.218093545125,114533.6178328082,1192.9417943264589,35202.194338652225,2655.8838249205264,0.0040348971566274905,0.0010000000016437641
10,1341.9977271342634,1.8725096514206356e+18,1.6783165918381683e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.0015512525047048425,0.0006100000027799979,1671.2641134000005,10,0.0,6.41628196436015,2146.632927640791,365.13793893275147,17767.4811379375,21.5142219915063,0.0002982344406370316,0.0009999891736524854
11,1341.9977271342634,1.7354967500971748e+18,1.6164841565625692e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,7.545822200001567,1678.8131757999945,11,0.0,1540.6483653996115,19309.760822845532,1322.9087585755883,51521.91783983945,523.287424899567,0.004567154725930191,0.0015512524279443845
12,1341.9977271342634,1.617167426226913e+18,1.5610170040823562e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,13.468679700003122,1692.2853891999985,12,0.0,9814.623428363024,78059.59184788958,566.3741650217152,46990.92584654609,2329.3174544041967,0.00421351903312437,0.0010000000027499524
13,1341.9977271342634,1.513943973489025e+18,1.5108931334688707e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,23.551080599994748,1715.8410605999961,13,0.0,3277.944306588797,2448.8354040124163,13070.90709960806,386975.82456592657,733.3832530123173,0.004469619797125429,0.0009999997215915037
14,1341.9977271342634,1.4231073350796836e+18,1.465306411636052e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,7.038627899994026,1722.8840999999957,14,0.0,1496.0418633450988,24537.891528768625,6358.980488634551,98353.18215834112,414.87226224880794,0.003606030095142465,0.0009999999508843221
15,1341.9977271342634,1.3425540896978148e+18,1.4236112859606458e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,14.778421099996194,1737.6661131,15,0.0,957.456889677968,13022.50101395206,3150.761585316088,76059.74189591919,250.58969733066934,0.003820815060789724,0.000999999846780721
16,1341.9977271342634,1.270631549178289e+18,1.3852838717837588e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,0.000291600008495152,1737.6701337999984,16,0.0,407.9860384732981,17346.180671950402,1291.739283466814,7322.355764674687,195.9890609119681,0.002081677602586888,0.0009999998529262744
17,1341.9977271342634,1.206023165321766e+18,1.349893975976257e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,11.090248900000006,1748.7651284999884,17,0.0,0.0,0.0,13492.539310105916,441204.50329200947,0.001,0.0,0.0
18,1341.9977271342634,1.1476672057094225e+18,1.3170846008130322e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,10.896438900002977,1759.6653936999937,18,0.0,2476.8127499754855,30620.51129960809,14003.225223338113,549870.420831716,632.8465125515809,0.00391376534564449,0.0009999999741974925
19,1341.9977271342634,1.0946979500612954e+18,1.2865566739972751e+19,1341.9977271342634,1.816767731300091e+20,2,0.5,0.5,0.0,0.001,16.496187299999292,1776.1652018999885,19,0.0,70.03978246509045,14742.086732757329,9058.940173429017,137696.54502514773,148.2504405854748,0.00047244232248999033,0.0009999997712212968
