individual_id,T,alpha,eta,fitness
0,14,0.07142857142857142,0.07142857142857142,1695.1369964599578
1,13,0.07692307692307693,0.07692307692307693,1696.700265975579
2,10,0.1,0.1,1722.204041004083
3,10,0.1,0.1,1722.204041004083
4,10,0.1,0.1,1722.204041004083
5,12,0.08333333333333333,0.08333333333333333,1736.245105169516
6,14,0.07142857142857142,0.07142857142857142,1695.1369964599578
7,10,0.1,0.1,1722.204041004083
8,14,0.07142857142857142,0.07142857142857142,1695.1369964599578
9,10,0.1,0.1,1722.204041004083
10,10,0.1,0.1,1722.204041004083
11,6,0.16666666666666666,0.16666666666666666,1735.3448468748988
12,10,0.1,0.1,1722.204041004083
13,10,0.1,0.1,1722.204041004083
14,10,0.1,0.1,1722.204041004083
15,10,0.1,0.1,1722.204041004083
16,10,0.1,0.1,1722.204041004083
17,10,0.1,0.1,1722.204041004083
18,10,0.1,0.1,1722.204041004083
19,10,0.1,0.1,1722.204041004083
