iter,best_perplexity,pop_mean,pop_std,pop_min,pop_max,T_best,alpha_best,eta_best,step_time,cum_time,no_improvement_count,relative_change_pct
-1,1820.2030903043844,69178533403327.375,208023258126205.1,1820.2030903043844,822900381745746.9,33,0.030303030303030304,0.030303030303030304,0.0,0.0,0,0.0
0,1820.2030903043844,1876573393.0060897,8177541835.95603,1820.2030903043844,37521651150.423645,33,0.030303030303030304,0.030303030303030304,334.99115062499186,1251.6107125840063,1,0.0
1,1786.9596691258016,11570.909782815646,27749.242044812647,1786.9596691258016,112790.19929633552,28,0.03571428571428571,0.03571428571428571,107.66423333399871,1359.2771658340062,0,1.826357803459375
2,1786.9596691258016,1879.6778124122216,72.17594261494119,1786.9596691258016,1969.3424667325155,28,0.03571428571428571,0.03571428571428571,8.07249162500375,1367.3506100840023,1,0.0
3,1786.9596691258016,1834.5461348269032,49.41323378747848,1786.9596691258016,1962.4635241397195,28,0.03571428571428571,0.03571428571428571,20.49257566599408,1387.8442492089962,2,0.0
4,1761.1619618929342,1832.61729766364,51.1911950630668,1761.1619618929342,1962.0288413821722,29,0.034482758620689655,0.034482758620689655,12.798637416999554,1400.643728791998,0,1.443664771991632
5,1752.153636648412,1788.0750433406033,20.23753308950265,1752.153636648412,1829.703015635475,23,0.043478260869565216,0.043478260869565216,7.452294334012549,1408.0967620419979,1,0.5114989671273545
6,1746.6714411735861,1773.7087305327336,16.044713388936337,1746.6714411735861,1795.6357588131543,24,0.041666666666666664,0.041666666666666664,7.315365000002203,1415.412929041995,2,0.31288326321157633
7,1731.1028659076244,1761.326985183622,27.8320879009196,1731.1028659076244,1869.428664290136,21,0.047619047619047616,0.047619047619047616,7.970831416998408,1423.384537792008,3,0.8913282085554237
8,1731.1028659076244,1747.2091467334635,12.021378018034222,1731.1028659076244,1786.9596691258016,21,0.047619047619047616,0.047619047619047616,3.417376792000141,1426.802644084004,4,0.0
9,1731.1028659076244,1739.7669846357942,10.64363712167084,1731.1028659076244,1768.872247393674,21,0.047619047619047616,0.047619047619047616,3.690161334001459,1430.493746292006,5,0.0
