iter,best_perplexity,pop_mean,pop_std,pop_min,pop_max,T_best,alpha_best,eta_best,step_time,cum_time,no_improvement_count,relative_change_pct
-1,2797.679829040203,3.81549174374185e+43,1.4080658180990242e+44,2797.679829040203,6.408625386882899e+44,33,0.030303030303030304,0.030303030303030304,0.0,0.0,0,0.0
0,2797.679829040203,7.593246032445797e+30,3.3098192108872396e+31,2797.679829040203,1.5186492064891593e+32,33,0.030303030303030304,0.030303030303030304,61.80041741699097,530.1948792500043,1,0.0
1,2797.679829040203,191841.23387638762,820519.798104136,2797.679829040203,3768396.4431773135,33,0.030303030303030304,0.030303030303030304,29.393932416991447,559.5906313339947,2,0.0
2,2770.962877170193,2823.6446449782875,82.58990769969289,2770.962877170193,3078.6315584604104,28,0.03571428571428571,0.03571428571428571,6.020639333000872,565.612076749996,3,0.9549681701488886
3,2179.293919420578,2852.5065852126572,406.4209751450411,2179.293919420578,3935.920636176374,2,0.5,0.5,6.130999165994581,571.7438017090026,0,21.352467859614524
4,2179.293919420578,2554.122056188481,300.2365952229373,2179.293919420578,2885.81223587456,2,0.5,0.5,8.120510082997498,579.864970709008,1,0.0
5,2179.293919420578,2272.7776241114325,213.53344282132295,2179.293919420578,2797.679829040203,2,0.5,0.5,0.00016666699957568198,579.866167375003,2,0.0
6,2179.293919420578,2183.592217864133,14.360185643790006,2179.293919420578,2243.770046080437,2,0.5,0.5,2.5514191669935826,582.4183289170032,3,0.0
7,2179.293919420578,2182.5177257535706,14.052246019062778,2179.293919420578,2243.770046080437,2,0.5,0.5,0.00014208300854079425,582.4193787920085,4,0.0
8,2151.58885204274,2184.5299858195913,20.67081809306577,2151.58885204274,2243.770046080437,3,0.3333333333333333,0.3333333333333333,2.739777041002526,585.1598096249945,0,1.271286407535324
9,2151.58885204274,2176.5234126827936,8.311520213351288,2151.58885204274,2179.293919420578,3,0.3333333333333333,0.3333333333333333,0.00016170801245607436,585.1610025420086,1,0.0
10,2151.58885204274,2173.6158517886006,13.307421857578062,2151.58885204274,2197.3096195934436,3,0.3333333333333333,0.3333333333333333,0.00015812499623280019,585.1619410419953,2,0.0
11,2151.58885204274,2162.670878993875,13.572655673026018,2151.58885204274,2179.293919420578,3,0.3333333333333333,0.3333333333333333,0.0001542089885333553,585.1630252089963,3,0.0
12,2151.58885204274,2151.58885204274,0.0,2151.58885204274,2151.58885204274,3,0.3333333333333333,0.3333333333333333,0.00013829200179316103,585.1638687920058,4,0.0
13,2151.58885204274,2152.974105411632,6.038179446198979,2151.58885204274,2179.293919420578,3,0.3333333333333333,0.3333333333333333,0.0001298749994020909,585.1646727089974,5,0.0
